bucket_size,build_ms,run_ms,total_ms,build_percent,run_percent,memory_ops,mult_ops,dram_gb_s,treeHigh,numBuckets,meanBucketSize,checksum,points
8,16.026,15.834,31.86,50.3,49.7,627051,930395,18,3,8,6187.125,1472809,49497
16,5.486,4.566,10.051,54.58,45.42,205896,286471,15.6,4,16,3093.563,1352122,49497
32,2.899,4.105,7.005,41.39,58.61,123823,199337,13.2,5,32,1546.781,1635251,49497
64,6.591,1.468,8.059,81.78,18.22,63535,101282,10.8,6,64,773.391,1462893,49497
128,8.756,1.073,9.829,89.08,10.92,34047,68427,8.4,7,128,386.695,1438486,49497
256,8.78,3.096,11.876,73.93,26.07,35040,89941,6,8,256,193.348,1395965,49497
,,,,,,,,,,,,,
,,,,,,,,,,,,,
bucket_size,CPU,QuickFPS,,bucket_size,dram_gb_s,,,,,,,,
8,16.026,15.834,,8,18,,,,,,,,
16,5.486,4.566,,16,15.6,,,,,,,,
32,2.899,4.105,,32,13.2,,,,,,,,
64,6.591,1.468,,64,10.8,,,,,,,,
128,8.756,1.073,,128,8.4,,,,,,,,
256,8.78,3.096,,256,6,,,,,,,,
